

gen best mean std
0 57.013548 -2.257626 10.915485
0 57.013548 -2.207889 11.037488
1 57.013548 -2.357161 10.726454
2 57.013548 -2.418944 10.665507
3 57.013548 -2.420763 10.824556
4 57.013548 -2.311383 11.009133
5 57.013548 -2.43771 10.873763
6 57.013548 -2.541943 10.593769
7 57.013548 -2.521575 10.446377
8 57.013548 -2.495803 10.447529
9 57.013548 -2.494529 10.447193
10 57.013548 -2.584092 10.38209
11 57.013548 -2.543197 10.405595
12 57.013548 -2.564396 10.402883
13 57.013548 -2.690808 10.144137
14 57.013548 -2.712876 10.141085
15 57.013548 -2.542348 10.406057
16 57.013548 -2.586684 10.400064
17 57.013548 -2.522351 10.534526
18 57.013548 -2.521957 10.534431
19 57.013548 -2.417357 10.726576
20 57.013548 -2.56724 10.475094
21 57.013548 -2.779619 10.148411
22 94.918596 -2.666907 11.023627
23 94.918596 -2.730594 10.944958
24 94.918596 -2.58035 11.138768
25 94.918596 -2.771374 10.764285
26 94.918596 -2.941738 10.541671
27 94.918596 -2.879972 10.677558
28 57.013548 -3.097685 9.55374
29 57.013548 -3.076575 9.556482
30 57.013548 -2.971309 9.812768
31 57.013548 -2.822297 10.143282
32 57.013548 -2.97446 9.927605
33 57.013548 -2.869679 10.135903
34 57.013548 -3.019445 9.745492
35 57.013548 -2.913884 9.824455
36 57.013548 -3.041645 9.505211
37 57.013548 -2.977405 9.577348
38 57.013548 -2.892 9.787988
39 57.013548 -2.805309 9.840903
40 57.013548 -2.700624 9.933123
41 57.013548 -2.807258 9.761466
42 57.013548 -2.85059 9.736016
43 57.013548 -2.659859 10.073231
44 57.013548 -2.744784 9.869243
45 57.013548 -2.571596 10.237663
46 57.013548 -2.380984 10.644262
47 57.013548 -2.399115 10.609897
48 57.013548 -2.460538 10.547331
49 57.013548 -2.462279 10.547927
50 57.013548 -2.352558 10.738489
51 57.013548 -2.328573 10.828508
52 57.013548 -2.266205 10.957658
53 57.013548 -2.309101 10.832035
54 57.013548 -2.543335 10.242017
55 57.013548 -2.628401 10.173896
56 57.013548 -2.606783 10.176713
57 57.013548 -2.694229 10.053164
58 57.013548 -2.802932 9.84593
59 57.013548 -2.757758 9.868775
60 57.013548 -2.715111 9.933752
61 57.013548 -2.777801 9.866225
62 57.013548 -2.754512 9.868879
63 57.013548 -2.669855 9.939047
64 57.013548 -2.561391 10.106231
65 57.013548 -2.539288 10.108717
66 57.013548 -2.55891 10.030399
67 57.013548 -2.604144 9.967377
68 57.013548 -2.495022 10.097527
69 57.013548 -2.411168 10.350893
70 57.013548 -2.684155 10.015896
71 57.013548 -2.507398 10.394474
72 57.013548 -2.550844 10.370822
73 57.013548 -2.615367 10.344166
74 57.013548 -2.52777 10.575905
75 57.013548 -2.164367 11.056295
76 57.013548 -2.44272 10.622277
77 57.013548 -2.424264 10.627768
78 57.013548 -2.337791 10.690697
79 57.013548 -2.360025 10.689972
80 57.013548 -2.441925 10.521293
81 57.013548 -2.763734 10.009825
82 57.013548 -2.871248 9.70192
83 57.013548 -2.760076 10.007237
84 57.013548 -2.761276 9.892934
85 57.013548 -2.610943 10.12285
86 57.013548 -2.502643 10.322429
87 57.013548 -2.483074 10.325516
88 57.013548 -2.398183 10.391637
89 57.013548 -2.399719 10.392178
90 57.013548 -2.250828 10.751589
91 74.964519 -2.101071 11.269658
92 74.964519 -2.226179 11.087894
93 74.964519 -2.291662 11.067524
94 74.964519 -2.293987 11.068232
95 74.964519 -2.209048 11.12689
96 74.964519 -2.16842 11.131139
97 74.964519 -2.25394 11.017906
98 74.964519 -2.467166 10.750212
99 74.964519 -2.469545 10.750986
