

gen best mean std
0 57.379599 1.506414 14.77793
0 57.379599 1.611852 14.650034
1 57.379599 1.518924 14.594175
2 57.379599 1.561861 14.597453
3 57.379599 1.583962 14.72854
4 57.379599 1.650225 14.79386
5 57.379599 1.998817 15.059627
6 57.379599 2.106458 15.154484
7 57.379599 2.063752 15.224476
8 57.379599 2.08952 15.317773
9 57.379599 2.02749 15.057615
10 57.379599 2.025772 15.132744
11 57.379599 2.041887 14.938911
12 57.379599 2.197681 15.025013
13 57.379599 2.112207 15.000251
14 57.379599 1.94301 14.791536
15 57.379599 1.667711 14.532185
16 57.379599 1.560983 14.471446
17 57.379599 1.516976 14.399687
18 57.379599 1.546361 14.503803
19 57.379599 1.723435 14.639291
20 57.379599 1.717911 14.641758
21 57.379599 1.477374 14.42465
22 74.771489 1.915997 15.109262
23 74.771489 1.801795 15.065621
24 74.771489 1.955506 15.362037
25 74.771489 1.995346 15.387921
26 57.379599 1.967817 15.020846
27 57.379599 1.664601 14.818466
28 57.379599 1.444184 14.584892
29 57.379599 1.466566 14.665691
30 57.379599 1.158439 14.54555
31 57.379599 1.15985 14.573698
32 57.379599 1.253592 14.597592
33 87.793424 1.544226 15.358457
34 87.793424 1.584193 15.412668
35 87.793424 1.576599 15.386131
36 87.793424 1.809972 15.507738
37 87.793424 1.356509 14.950673
38 87.793424 1.388956 14.997372
39 87.793424 1.087207 14.594397
40 87.793424 0.901433 14.51569
41 87.793424 0.766787 14.389281
42 87.793424 0.781385 14.387959
43 87.793424 0.763448 14.3798
44 87.793424 0.94458 14.639009
45 87.793424 0.907386 14.574827
46 87.793424 1.105193 14.668689
47 87.793424 1.399176 15.018225
48 87.793424 1.750228 15.387632
49 87.793424 1.93082 15.517402
50 87.793424 2.133123 15.805197
51 87.793424 1.714173 15.300295
52 87.793424 1.481617 14.965936
53 87.793424 1.483482 15.105974
54 87.793424 1.572275 14.935675
55 87.793424 1.527818 14.900232
56 87.793424 1.593099 14.964426
57 87.793424 1.667477 14.994032
58 87.793424 1.520702 14.874084
59 87.793424 1.470826 14.870451
60 87.793424 1.403931 14.844058
61 87.793424 1.482278 14.828285
62 57.379599 1.228833 14.299628
63 57.379599 1.383704 14.393325
64 57.379599 1.533099 14.689578
65 57.379599 1.445734 14.669409
66 65.742332 1.55692 14.967619
67 65.742332 1.51034 14.973318
68 65.742332 1.571551 14.974338
69 65.742332 1.830601 15.147626
70 57.379599 1.818776 14.893596
71 57.379599 1.747615 14.870628
72 57.379599 1.688629 14.702459
73 57.379599 1.623828 14.465354
74 57.379599 1.498164 14.376805
75 74.742332 1.720657 14.871388
76 74.742332 1.536736 14.769682
77 74.742332 1.389945 14.710728
78 74.742332 1.417779 14.667398
79 74.742332 1.563373 14.813551
80 74.742332 1.550313 14.753756
81 74.742332 1.607148 14.761008
82 74.742332 1.674328 14.822501
83 74.742332 1.556313 14.822601
84 74.742332 1.577424 14.851964
85 74.742332 1.686797 14.858867
86 74.742332 1.835386 15.083878
87 74.742332 2.054715 15.206351
88 74.742332 2.010969 15.209103
89 74.742332 2.021613 15.223922
90 57.462666 1.895977 14.857718
91 57.462666 1.764827 14.717343
92 57.462666 1.748154 14.685688
93 57.462666 1.581639 14.399099
94 57.462666 1.765423 14.807065
95 57.462666 1.721427 14.803935
96 57.462666 1.769847 14.879274
97 57.462666 1.912765 15.011927
98 57.462666 1.730382 14.88553
99 74.773463 1.929933 15.282239
