

gen best mean std
0 65.751957 1.69134 15.055923
0 65.751957 1.727194 15.011513
1 65.751957 1.754611 15.011809
2 65.751957 1.685295 15.218283
3 65.751957 1.753303 15.249466
4 65.751957 1.534652 15.023757
5 65.751957 1.214533 14.520892
6 65.751957 1.102359 14.303764
7 65.751957 0.943957 14.190103
8 65.751957 0.722709 13.85341
9 65.751957 0.729624 13.826493
10 65.751957 0.812058 13.996814
11 65.751957 1.053305 14.083677
12 65.751957 0.857021 14.008837
13 65.751957 0.996799 14.065824
14 74.77941 1.124069 14.468752
15 74.77941 1.032299 14.449656
16 74.77941 0.946792 14.26529
17 74.77941 0.931468 14.187651
18 74.77941 0.973537 14.171669
19 74.77941 1.22872 14.617948
20 74.77941 1.119521 14.517189
21 74.77941 1.105647 14.476294
22 74.77941 1.016514 14.401961
23 74.77941 0.805604 14.208904
24 74.77941 0.990133 14.326224
25 66.424051 0.899995 14.092674
26 66.424051 1.018085 14.105753
27 66.424051 0.960161 13.899169
28 66.424051 1.147563 14.198051
29 66.424051 1.325194 14.189745
30 66.424051 1.070709 13.831052
31 66.424051 1.04745 13.657286
32 66.424051 1.117085 13.661218
33 66.424051 1.026431 13.525859
34 66.424051 1.083033 13.56535
35 66.424051 1.007842 13.526647
36 66.424051 0.845693 13.22283
37 66.424051 0.982257 13.23102
38 66.424051 1.28078 13.623047
39 66.424051 1.372632 13.704047
40 66.424051 1.216906 13.630441
41 66.424051 1.118807 13.551535
42 66.424051 1.203327 13.814831
43 66.424051 1.26441 13.852445
44 66.424051 1.164553 13.807761
45 66.424051 1.227256 13.865783
46 66.424051 1.138312 13.832232
47 66.424051 0.859536 13.493578
48 66.424051 0.996112 13.631312
49 66.424051 1.062156 13.722396
50 65.751957 1.130605 13.422117
51 65.751957 1.262561 13.654888
52 65.751957 1.058984 13.412686
53 65.751957 1.008101 13.209027
54 65.751957 1.292586 13.546191
55 65.751957 1.460929 13.736024
56 65.751957 1.112505 13.311672
57 65.751957 1.330173 13.651066
58 65.751957 1.47755 13.940979
59 65.751957 1.289851 13.878516
60 65.751957 0.963443 13.530796
61 65.751957 1.11531 13.693885
62 65.751957 1.113632 13.723354
63 65.751957 0.98976 13.605958
64 65.751957 0.988537 13.586605
65 65.751957 1.035437 13.663598
66 65.751957 1.193107 13.78603
67 86.9894 1.515976 14.585108
68 86.9894 1.75074 15.046622
69 86.9894 1.778237 15.020342
70 86.9894 1.862766 15.059317
71 86.9894 1.961694 15.116925
72 86.9894 1.678648 14.789374
73 86.9894 1.876035 15.002495
74 86.9894 1.758649 14.943773
75 86.9894 1.649948 15.157997
76 86.9894 1.651118 15.156853
77 86.9894 1.784698 15.293043
78 86.9894 2.29381 15.973069
79 86.9894 2.744646 16.435306
80 86.9894 2.93619 16.683231
81 86.9894 3.256109 17.038864
82 86.9894 3.123548 16.885378
83 86.9894 3.251058 17.085698
84 86.9894 3.1455 16.934493
85 86.9894 3.107145 16.888991
86 86.9894 2.890372 16.715769
87 86.9894 2.897005 16.794681
88 86.9894 2.860669 16.706742
89 86.9894 3.053061 16.768567
90 86.9894 2.8883 16.57211
91 86.9894 2.647823 16.301346
92 86.9894 2.667253 16.297257
93 86.9894 2.545234 16.169191
94 86.9894 2.615382 16.188675
95 86.9894 3.003349 16.791556
96 86.9894 3.265268 16.94916
97 86.9894 3.046528 16.844881
98 86.9894 3.070617 16.830662
99 83.717733 2.66963 16.234175
